video,chunk_id,text,start_time,end_time
lecture1,39," Hello, Marsh.  So this is how we can use the input function in Python.  We have learned about the three types of data in Python.  We have numbers, strings and bullies.  That there are times you want to convert the value of a variable from one type to another.",642.08,663.52
lecture1,40, Let me show you.  So we are going to use our input function to read the user's birth here.  So enter your birth here.  Now this input function is going to return a value.  So we can store it in a variable called birth on the line here.,663.52,682.08
lecture1,41, Okay.  Now let's write code to calculate the age of this user.  So we write an expression like this.  Currently we are in the year 2020.  So 2020 minus birth year.,682.08,694.36
lecture1,42," This expression or piece of code is going to produce a value.  So once again, we can store that value in a variable.  Let's call that variable age.  Now let's print age on the terminal.  Let's turn on a program and see what happens.",694.36,709.64
lecture1,43," So my birth year is 1982.  Enter.  Oops, our program crashed.  So whenever you see this red message, that indicates an error.  So this error occurred in this file.",709.64,722.2399999999999
lecture1,44, That is our app.py online to right below that.  You can see the piece of code that generated this error.  So that is this expression 2020 minus birth year.  Now below that you can see the type of error.  So here we have unsupported types or subtraction.,722.2399999999999,741.76
lecture1,45," We have int and stir.  What are these?  But this int is short for integer and that represents a whole number in programming.  So 2020 is an example of an integer.  The birth year is an example of a string because whenever we call the input function, this",741.76,760.88
lecture1,46," function will return a value as a string.  Even if we enter a number, in other words, when I entered 1982, this input function return  a string with these characters 1982.  So this string is different from the number 1982.  There are completely different types.",760.88,779.52
lecture1,47," So in this case, let me delete these lines.  The reason we got this error is that we tried to subtract a string from an integer.  So our code looked like this 1982.  Now Python doesn't know how to subtract a string from an integer.  So to solve this problem, we need to convert this string from an integer.",779.52,801.2800000000001
lecture1,48," Now in Python, we have a bunch of built-in functions for converting the types of our variables.  So we have this int function.  We can pass our birth year to it.  In this return, the new make representation of the birth year.  So to solve this problem, we need to replace the string with the int function.",801.2800000000001,824.08
lecture1,49," So let's see what's going on here.  On the first line, we call the input function.  This returns a string.  On the second line, we pass this string to our int function.  The int function will return the new make representation of the birth year.",824.08,838.4
lecture1,50, We subtract it from 2020.  We get the age and store it in the age variable.  Now let's run our program.  So 1982 and there you go.  I'm 38 years old.,839.12,851.6
lecture1,51, So this is how the int function works.  Now we also have another built-in function called float.  That is for converting a value to a floating point number.  A floating point number in Python and other programming languages is a number with a decimal point.  So 10 is an integer and 10.1 is a float.,851.6,871.96
lecture1,52," So we have int, we have float, and we also have pool for converting a value to a boolean.  And finally, we have stir for converting a value to a string.  So these are the built-in functions for converting the type of our variables.  Now here's a little exercise for you.  I want you to write a basic calculator program.",871.96,893.72
lecture1,53," So here we have to enter two numbers.  We can type a whole number or a number with a decimal point.  And then our program will print that some of these two numbers.  So pause the video, spend two minutes on this exercise, and then see my solution.  All right, first we're going to call our input function to read the first number.",893.72,915.12
lecture1,54, We get the result and store it in a variable called first.  Now let's declare another variable called second and read the second number.  Now we calculate the sum.  So that is first plus second.  Now let's see what happens when we print some on the terminal.,915.12,935.72
lecture1,55," So I enter 10 and 20, but instead of 30, we get 10, 20.  This is because we're combining or concatenating two strings.  So as I told you before, the input function returns a string.  So this line will be equivalent to first equals 10,  you're dealing with a string, not an integer.",936.84,959.56
lecture1,56," Similarly, second is going to be 20 as a string.  So when we combine two strings, 10 plus 20, we'll get 10, 20.  Because we're dealing with textual data, okay?  So to solve this problem, we need to convert the values we read  to their new macro presentation.",959.56,980.04
lecture1,57," So over here, we're going to pass first to our int function.  And here as well.  Now let's run our program.  So we enter 10 and 20, we get 30.  What if we enter a floating point number?",980.12,996.48
lecture1,58," So 10.1 and 20.  You got an error.  So to solve this problem, we need to treat both these values as floats.  So instead of the int function, we're going to use the float function.  Now let's run our program one more time,",996.48,1015.56
lecture1,59, we enter a whole number and a floating point number.  So the result is correct.  Now let's add a label over here.  So sum is plus sum.  Let's run our program one more time.,1015.56,1030.84
lecture1,60," 10 and 20.  Once again, we got an error.  The error is saying that Python can only concatenate strings,  not float to strings.  So on line four, we have a string.",1030.84,1043.84
lecture1,61," We're concatenating this with a float,  because the result of this expression is a floating point number.  We're adding two floats, so the result is a float as well.  So Python doesn't know how to evaluate code like this.  It doesn't know how to concatenate a float to a string.",1043.84,1063.6
lecture1,62," To solve this problem, we need to convert sum to a string.  So this is where we use the stir function.  Now let's run the program again.  So 10 plus 20.1, and here's the result.  And one last thing.",1063.6,1079.76
lecture1,63," In this example, I'm calling the float function.  At the time, we want to calculate the sum of these two numbers,  but this is not a requirement.  We can call the float function over here.  So this input function returns a string.",1079.76,1093.4399999999998
lecture1,64," We can pass that string to our float function.  Take a look.  So float, parenthesis, like this.  So the value that we're passing to the float function  is the value that is returned from the input function.",1093.44,1107.04
lecture1,65," Similarly, we call the float function over here.  Now, we can change this expression to first plus second.  That is another way to write this piece of code.  So type conversion is important in Python  and other programming languages.",1107.04,1124.28
lecture1,66," There are times you need to convert the type of variable  to a different type.  In this tutorial, I'm going to show you a bunch of cool things  you can do with strings in Python.  So let's start by declaring a variable called course",1124.28,1141.9199999999998
lecture1,67," and set it to Python for beginners.  Now, this string that we have over here is technically an object.  An object in Python is like an object in the real world.  As a matter of four, think of the remote control of your TV.  This remote control is an object, and it has a bunch of capabilities.",1141.9199999999998,1159.68
lecture1,68," It has a bunch of buttons for turning your TV on,  turning it off, changing the volume, and so on.  Like this program, this course variable  is storing a string object.  This string object has a bunch of capabilities.",1159.68,1171.72
lecture1,69," So if you type course dot,  you can see all the capabilities available in a string object.  These are basically functions that you can call,  just like the print or input functions.  The difference is that the print and input functions",1171.72,1185.4
lecture1,70," are general purpose functions.  They don't belong to a particular object,  but the functions you see over here are specific to strings.  Now, more accurately, we refer to these as methods.  So when a function is part of an object,",1185.4,1198.56
lecture1,71," we refer to that function as a method.  So let's look at a few examples.  Here we have a function or a method called upper,  and we use that to convert a string to upper case.  So if we print course dot upper,",1198.56,1212.64
lecture1,72," and front is program,  you can see our course in upper case.  Pretty useful.  Now, what you need to understand here  is that this upper method does not change our original string.",1212.64,1223.32
lecture1,73," It will return a new string.  So right after this, if we print course,  you can see that our course variable is not affected.  So the upper method returns a new string.  As similarly, we have another method called lower",1223.32,1239.76
lecture1,74," for converting a string to lower case.  We have a method called find to see for a string  contains a character or a sequence of characters.  For example, here we can pass why,  and this will return the index of the first occurrence",1239.76,1254.4
lecture1,75," of why in our string.  So in Python, the index of the first character  in a string is zero.  So here we have zero, one, two, three, four, and so on.  So when we run this program,",1254.4,1265.56
lecture1,76," you're going to see one on the terminal  because the index of why is one.  Take a look.  First, I'm going to delete this line.  You don't need it anymore.",1265.56,1273.96
lecture1,77," Also, let's delete this line.  Let's run the program.  There you go.  As I told you before,  Python is sensitive to lower case and uppercase letters.",1273.96,1284.96
lecture1,78," So if I pass an uppercase why here,  this find method returns negative one  because we don't have an uppercase why in this string.  We can also pass a sequence of characters,  for example, four.",1284.96,1298.12
lecture1,79," So this will return the index of the word four.  Take a look.  So it's seven.  Now, there are times we want to replace something  in a string with something else.",1298.12,1308.8000000000002
lecture1,80," To do that, we use the replace method, replace.  So we can replace four with a string  containing the number four.  Take a look.  So Python for beginners.",1308.8000000000002,1322.36
lecture1,81," Obviously, if you look for a character  or a sequence of characters that don't exist in our string,  nothing is going to happen.  For example, if we tried to replace X with four,  obviously we don't have X here.",1322.36,1334.1999999999998
lecture1,82," So nothing is going to happen.  Also, just like the upper method,  the replace method is not going to modify our original string.  So it's going to return a new string.  This is because strings in Python",1334.1999999999998,1346.56
lecture1,83," and many other programming languages are immutable.  We cannot change them once we create them.  Whenever we want to change our string,  we'll end up with a new string object in memory.  Now, one last thing I want to cover in this tutorial,",1346.56,1359.0
lecture1,84, there are times you want to see  if your string contains a character  or a sequence of characters.  One way to do that is using the fine method  that we talked about.,1359.0,1367.6
lecture1,85," So let's see if our string contains Python.  Now, when we run this program,  that is the index of the first occurrence of the word  Python in our string.  That in Python, we can also use the in operator.",1367.6,1382.76
lecture1,86," So we can write an expression like this.  We type a string, Python, then we type in.  This is a special keyword in Python.  This is what we call the in operator.  So after that, we type the name of our variable.",1382.76,1398.96
lecture1,87," So with this expression, we're checking to see  if we have Python in course.  As you can see, Python code is very readable.  It's like plain English.  So when we run this program,",1398.96,1409.88
lecture1,88," instead of seeing the index of the first occurrence  of Python, we see a Boolean value.  This is more desirable in a lot of cases.  Next, we're going to look at arithmetic operations.  In this tutorial, I'm going to show you",1409.88,1427.4
lecture1,89," the arithmetic operators that we have in Python.  These are the same arithmetic operators  that we have in math.  For example, we can add numbers,  we can subtract them, multiply them, and so on.",1427.4,1437.72
lecture1,90," So let's print 10 plus 3.  When we run this program, we have 13.  So this is the addition operator.  We also have subtraction.  We have multiplication and division.",1437.72,1451.24
lecture1,91," Now, technically, we have two different types  of division operators.  We have a division with one slash and another  with two slashes.  Let's look at the differences.",1451.24,1460.28
lecture1,92," If you use a single slash, we get a floating point number  that is a number with a decimal point.  But if you use double slashes, we get an integer, a whole number.  We also have the modulus operator that  is indicated by a person sign.",1460.28,1477.0
lecture1,93," And this returns the remainder of the division of 10 by 3.  So that is 1.  And finally, we have the exponent operator  that is indicated by two asterisks.  So this is 10 to the power of 3.",1477.0,1490.96
lecture1,94," So when we run this, we get 1,000.  For all these operators that you saw,  we have an augmented assignment operator.  Let me explain what it means.  So let's say we have a variable called x.",1490.96,1503.92
lecture1,95," And we set it to 10.  Now we want to increment the value of x by 3.  So we have to write code like this.  x equals x plus 3.  When it pies on executes this code, it's",1503.92,1515.16
lecture1,96," going to evaluate this expression or this piece of code.  The result of this expression is 10 plus 3, which is 13.  Then it will store 13 in the x.  Now there is another way to achieve the same result  using less code.",1515.16,1528.84
lecture1,97, We can type x plus equal 3.  What we have on line 3 is exactly identical  to what we have on line 2.  So what we have here is called the augmented assignment  operator.,1528.84,1541.56
lecture1,98," So we have this assignment operator,  but we have augmented or enhanced it.  And here we can also use subtraction  to decrease the value of x by 3.  We can use multiplication and so on.",1541.56,1554.44
lecture1,99," So these are the arithmetic operators in Python.  All right, let me ask you a question.  I'm going to declare a variable called x.  And set it to 10 plus 3 times 2.  What do you think is the result of this expression?",1554.44,1572.68
lecture1,100," This is a basic math question that unfortunately,  a lot of people fail to answer.  The answer is 16.  Here is the reason.  In math, we have this concept called operator precedence.",1572.68,1583.96
lecture1,101, And that determines the order in which these operators  are applied.  So multiplication and division have a higher order.  So this part of the expression gets evaluated first.  So 2 times 3 is 6.,1583.96,1596.48
lecture1,102," And then the result is added to 10.  That is why the result of this expression is 16.  Now in Python, operator precedence is exactly like math,  but we can always change it using parenthesis.  For example, in this expression, if it",1596.48,1610.28
lecture1,103," was 10 plus 3 to be evaluated first,  we can wrap it in parenthesis.  So like this.  Now when we execute this code, we're  going to see 26, because 10 plus 3 is 13.",1610.28,1623.44
lecture1,104, And that divided by 2 is 26.  Let's verify this.  So print x and we get 26.  So you learn about the arithmetic operators  in Python.,1623.44,1638.84
lecture1,105," Now in Python, we have another set of operators  called comparison operators.  We use these operators to compare values.  Let me show you.  So I'm going to declare a variable called x",1638.84,1649.48
lecture1,106," and set it to an expression like this.  3 is greater than 2.  So what we have here, this piece of code,  this expression is called a Boolean expression,  because it produces a Boolean value.",1649.48,1661.92
lecture1,107," So in this case, because 3 is greater than 2,  the result of this expression is the Boolean true.  So if we print x, we get true on the terminal.  So here is the greater than operator.  We also have greater than or equal to.",1661.92,1678.6799999999998
lecture1,108," We have less than or equal to.  Here is the equality operator, which  is indicated by two equal signs.  Do not confuse this with a assignment operator.  So here we're comparing 3 and 2 for equality.",1678.6799999999998,1693.04
lecture1,109," So if we run our program, we see false,  because 3 does not equal to 2.  So here is the equality operator.  We also have the not equality operator  that is indicated by an exclamation mark",1693.04,1706.76
lecture1,110," followed by an equal sign.  So let's quickly recap.  Here are the comparison operators we have in Python.  Greater than or equal to, less than or equal to,  equal and not equal.",1706.76,1721.8000000000002
lecture1,111, These operators are extremely important  in real Python programs.  Because quite often we have to compare values  to evaluate certain conditions.  We're going to see that soon.,1721.8000000000002,1730.04
lecture1,112," In Python, we have another set of operators  called logical operators.  We use these operators to build complex rules and conditions.  Let me show you.  So I'm going to declare a variable called price,",1736.44,1747.68
lecture1,113, instead of 25.  Now let's print a Boolean expression like this.  Price is greater than 10.  Now let's say we want to check to see  if the price is between 10 and 30.,1747.68,1760.36
lecture1,114," This is where we use the logical and operator.  So we type and, and right after that,  we type another Boolean expression.  So price less than 30.  So with this and operator, if both these Boolean expressions",1760.36,1775.0
lecture1,115," return true, the result of this entire expression  will be true.  Take a look.  So, and this gets to be true.  Because the price is between 10 and 30 dollars.",1775.0,1786.84
lecture1,116," We also have the or operator.  With the or operator, if at least one of these Boolean expressions  returns true, then the result of this entire expression  will be true.  To demonstrate this, I'm going to change price to 5.",1786.84,1801.92
lecture1,117," Let's see how Python is going to execute this code.  So first, it's going to look at this Boolean expression.  Is price greater than 10?  No, it's not.  So it will keep going.",1801.92,1811.8
lecture1,118, Then it will look at the second Boolean expression.  Is price less than 30?  It sure is.  So the result of this entire expression  will be true.,1811.8,1819.8
lecture1,119," Take a look.  There you go.  We also have the not operator, which basically  inverses any values that you give it.  Let me show you.",1819.8,1828.84
lecture1,120," So we're going to have one Boolean expression,  price greater than 10.  The result of this expression is false.  Now, if you apply the not operator,  this will inverse false to true.",1828.84,1842.64
lecture1,121," So when we run the program, we get true.  So let's quickly recap.  In Python, we have three logical operators.  We have logical and which returns true.  If both expressions return true, we have logical or which",1842.64,1856.88
lecture1,122," returns true, if at least one expression returns true.  And we have not which inverses any value that we give it.  In this tutorial, we're going to talk about if statements  in Python.  We use if statements to make decisions in our programs.",1856.88,1876.88
lecture1,123," For example, we can declare a variable called temperature.  And depending on the value of this variable,  we can print different messages on the terminal.  Let me show you.  So here's our temperature variable.",1876.88,1887.84
lecture1,124," We set it to 35.  Now, let's say if temperature is greater than 30,  we want to print a message saying it's a hot day.  So we type if then we type a condition.  And this is where we use our comparison operators.",1887.84,1902.28
lecture1,125," So we type temperature greater than 30.  Then, so we have a colon and see what happens when  it press Enter now.  The character is indented.  And this represents a block of code.",1902.28,1915.8
lecture1,126," So the code that we write over here  will be executed if this condition is true.  Otherwise, it's not going to be executed.  Let me show you.  So we're going to print.",1915.8,1926.8
lecture1,127," It's a hot day.  And by the way, note that here, I've  surrounded the string with double quotes.  Because here we have a single quote as an apostrophe.  So I couldn't declare a string like this with single quotes.",1926.8,1940.08
lecture1,128," If I typed, it's a hot day, look, Python gets confused.  Because it thinks this single code represents the end  of our string.  So it doesn't recognize the subsequent characters.  So that's why we use double quotes here.",1940.08,1956.76
lecture1,129," So we can have an apostrophe in our string.  So it's a hot day.  Now, if I press Enter again, the character is indented.  So the code that we write here will be part of our if block.  And it will get executed if this condition is true.",1956.76,1971.8
lecture1,130," So here we can print a second message, drink plenty of water.  Now to determine that this block, we press Enter,  and then press Shift and Tab.  The character is no longer indented.  So the code that we write here will always",1971.8,1987.52
lecture1,131," get executed no matter what, whether this condition is true  or not.  Now, in C-based programming languages, like C++, C-sharp, Java,  and JavaScript, we represent a block of code using curly braces.  So you start a block of code using a left brace",1987.52,2004.76
lecture1,132," and then end it using a right brace.  In Python, we don't have curly braces.  So we use indentation to represent a block of code.  So in this case, these two lines are indented,  and that means they are part of this block of code.",2004.76,2021.16
lecture1,133," Now, let's run the program and see what happens.  So we see these two messages because the temperature  is greater than 30.  Now, if I change the temperature to 25  and run the program again, we don't see anything.",2021.16,2037.16
lecture1,134," Now, after this block, let's print done.  Because this code is not indented,  it will always get executed.  It's not part of our if block, OK?  So take a look.",2037.2,2049.44
lecture1,135," Here's the done message.  Now, let's add a second condition.  So if temperature is not greater than 30,  that means it's less than or equal to 30.  So I'm going to add a second condition.",2049.44,2063.48
lecture1,136," So if the temperature is between 20 and 30,  I want to print. It's a nice day.  So here we type L if, that is short for L's if,  and here we type a second condition.  So temperature greater than 20.",2063.48,2079.64
lecture1,137," We add a colon, presenter.  Now we have a new block.  So here we can print.  It's a nice day.  So if this condition is true, that means the temperature",2079.64,2092.32
lecture1,138," is greater than 20, and less than or equal to 30.  Now, what we have here is called a comment.  That is why it's grayed out.  It's not real code.  It's just some note that we add to our program.",2092.32,2103.7200000000003
lecture1,139," Python is not going to execute this.  So whenever we type a pound sign,  what we have after is treated as a comment, OK?  So if this condition is true,  then we're going to see this message on the terminal.",2103.7200000000003,2116.36
lecture1,140, Let's run our program and verify this.  There you go.  The temperature is 25.  That's why we see this message.  Now we can have as many conditions as we want.,2116.36,2126.2000000000003
lecture1,141," There are no limitations, OK?  So let's add another condition.  L if temperature is greater than 10,  then we're going to print.  It's a bit cold.",2126.2000000000003,2139.56
lecture1,142," Now in this case, if this condition is true,  that means the temperature is greater than 10  and less than or equal to 20.  Now finally, if the temperature is less than 10,  let's print a message saying it's a cold day.",2139.56,2153.28
lecture1,143," So here we type else, then we add a colon,  and now we have a new block.  So this code will get executed if none of the above conditions  are true.  So here we can print.",2153.28,2168.08
lecture1,144, It's called.  So this is how we use if statements  to make decisions in our programs.  Here's a great exercise for you to practice what you have learned so far.  I want you to write a weight converter program like this.,2168.08,2187.32
lecture1,145," So this program is asking me my weight.  I enter 170.  Next, it's asking me if the weight is in kilograms or pounds.  So I can type K for kilograms or L for pounds.  I can type L or an upper case L.",2187.32,2202.6
lecture1,146, It doesn't matter.  So let's go with a lower case L.  Now it tells me weight in kilogram is 76.5.  So go ahead and spend five minutes on this exercise.  You can use the comment box below to share your code with others.,2202.6,2217.24
lecture1,147," And then when you're done, come back to my solution.  So first we call our input function to ask the first question.  Weight.  We get the result and store it in a variable called weight.  Next we call the input function one more time to ask the second question.",2217.24,2236.64
lecture1,148, Is this in kilogram or pounds?  We get the result and store it in a variable called unit.  This is where we're going to use an if statement.  So we want to check to see if unit equals K.  Then we should convert the weight to pounds and print it on a terminal.,2236.64,2258.2000000000003
lecture1,149," However, with this code, if I type L or a case K,  this condition is not going to be true because earlier I told you that Python is a case sensitive  language.  So we need to convert this string to upper case.  Earlier we talked about string methods.",2258.2000000000003,2273.84
lecture1,150," So if you type dot, we can see all the functions or methods available in a string object.  So we use the upper method and this returns a new string in upper case.  Now if this condition is true, first we need to convert the weight to pounds.  So we declare a new variable called converted, get the weight and divide it by 0.45.  And then we can print this on a terminal.",2273.84,2300.0
lecture1,151," So we say weight in pounds is then we append converted.  Now to terminate this block, we press shift and tap else colon.  So if this condition is not true, that means the weight was entered in pounds.  So we need to convert it to kilograms.  Once again, we declare a variable converted and set it to weight times 0.45.",2300.0,2328.08
lecture1,152," And then we print weight in kilograms.  And here we concatenate this string with converted.  All right, now we need to terminate this block.  So we press enter then shift and tap good.  Now if you run this program, we're going to see an error.",2328.08,2345.0
lecture1,153," Let me show you.  So let's run it.  Here I'm going to enter 170.  Then I type at lower case L. Okay, here's an error.  Can't multiply sequence by non-ant of type float.",2345.0,2359.52
lecture1,154," So this is where we got this error when we tried to multiply the weight by 0.45.  So that is line seven in our code.  Now the reason this is happening is because the weight variable is storing a string object.  Because earlier I told you, the input function always returns a string.  So here we need to convert the weight to a number.",2359.52,2383.0
lecture1,155," We can either use the end or the float function.  Let's run the program one more time.  So 170 in pounds.  Here's a second error.  Can only concatenate string, not float to string.",2383.0,2399.4
lecture1,156," And that error occurred over here.  And we tried to print the weight in kilograms.  So look at line seven.  In this case, weight is an integer.  We are multiplying an integer by float and the result of this operation is going to be",2399.4,2415.0
lecture1,157," a float.  Now on line eight, we are trying to concatenate or combine a string with a float.  And Python doesn't know how to execute this code.  To solve this problem, we need to convert this flow to a string.  So here we use the built-in stir function.",2415.0,2432.76
lecture1,158, Let's run the program and see what happens.  So 170 in pounds.  And here's my weight in kilograms.  Now let's try entering a weight in kilograms.  So running one more time.,2432.76,2446.0400000000004
lecture1,159," Let's say 76 kilos.  Here we get a familiar error.  Can only concatenate string to string, not float.  So this error occurred, a line five, where we tried to concatenate a string to float.  So once again, we need to convert this to a string object.",2446.0400000000004,2466.56
lecture1,160," Now let's run the program one more time.  76 kilos is equal to 168 pounds.  Hey guys, I just wanted to let you know that I have an online coding school at code  with marsh.com, where you can find plenty of courses on web and mobile development.  In fact, I have a comprehensive Python course that teaches you everything about Python",2466.56,2487.88
lecture1,161," from the basics to more advanced concepts.  So after you watch this tutorial, if you want to learn more, you may want to look at my  Python course.  It comes with a 30-day money back guarantee and a certificate of completion you can add  to your resume.",2487.88,2499.56
lecture1,162," In case you're interested, the link is below this video.  In this tutorial, we're going to talk about why loops in Python.  We use why loops to repeat a block of code multiple times.  For example, let's say you want to print the numbers one to five.  A poor way of doing this is writing code like this.",2499.56,2519.92
lecture1,163," Print one, then print two, print three, print four, and print five.  Now why is this a bad approach?  Well, what if we wanted to print the numbers one to one million?  We don't want to write one million lines of code each line printing a number.  This is where you use why loops.",2519.92,2537.0
